,.model,Region,Product,MAE
291,harmonic2,R9,BNW,1866.840861
292,harmonic2,R9,CFD,77716.14187
293,harmonic2,R9,CFW,202108.8054
294,harmonic2,R9,CNW,20587.13111
295,harmonic2,R9,DFD,102546.1311
296,harmonic2,R9,DFW,33914.75074
297,harmonic2,R9,DNW,9278.152847
298,harmonic2,R9,EFD,23242.92698
299,harmonic2,R9,EFW,19044.81826
300,harmonic2,R9,ENW,10161.69398
301,harmonic4,R1,AFD,432533.6608
302,harmonic4,R1,AFW,31540463.26
303,harmonic4,R1,ANW,27505.56945
304,harmonic4,R1,BFD,2657777.562
305,harmonic4,R1,BFW,122216.9198
306,harmonic4,R1,BNW,77650.85364
307,harmonic4,R1,CFD,900742.376
308,harmonic4,R1,CFW,1953925.218
309,harmonic4,R1,CNW,98261.68771
310,harmonic4,R1,DFD,85598.30079
311,harmonic4,R1,DFW,670937.6676
312,harmonic4,R1,DNW,21495.27535
313,harmonic4,R1,EFD,53431.32326
314,harmonic4,R1,EFW,142942.2641
315,harmonic4,R1,ENW,19434.70369
316,harmonic4,R10,AFD,4422061.408
317,harmonic4,R10,AFW,11737539.07
318,harmonic4,R10,ANW,158682.5297
319,harmonic4,R10,BFD,9232296.918
320,harmonic4,R10,BFW,431578.281
321,harmonic4,R10,BNW,522146.5919
322,harmonic4,R10,CFD,20520579.87
323,harmonic4,R10,CFW,11400133.55
324,harmonic4,R10,CNW,204610.4757
325,harmonic4,R10,DFD,473868.2482
326,harmonic4,R10,DFW,3047740.319
327,harmonic4,R10,DNW,295304.6259
328,harmonic4,R10,EFD,633721.4683
329,harmonic4,R10,EFW,879795.2833
330,harmonic4,R10,ENW,421796.061
331,harmonic4,R2,AFD,117977.8079
332,harmonic4,R2,AFW,13335317.11
333,harmonic4,R2,ANW,829.0207835
334,harmonic4,R2,BFD,272208.9554
335,harmonic4,R2,BFW,22607.69462
336,harmonic4,R2,BNW,174325.1271
337,harmonic4,R2,CFD,255028.946
338,harmonic4,R2,CFW,2529617.543
339,harmonic4,R2,CNW,8961.815227
340,harmonic4,R2,DFD,36297.79759
341,harmonic4,R2,DFW,6217.572902
342,harmonic4,R2,DNW,1129.226822
343,harmonic4,R2,EFD,79168.35694
344,harmonic4,R2,EFW,232080.9231
345,harmonic4,R2,ENW,918.9869435
346,harmonic4,R3,AFD,96961.92586
347,harmonic4,R3,AFW,737350.4189
348,harmonic4,R3,ANW,2258.622606
349,harmonic4,R3,BFD,84266.32209
350,harmonic4,R3,BFW,26875.47419
351,harmonic4,R3,BNW,33788.14442
352,harmonic4,R3,CFD,7270.739871
353,harmonic4,R3,CFW,1988039.227
354,harmonic4,R3,CNW,575.8282752
355,harmonic4,R3,DFD,55190.1213
356,harmonic4,R3,DFW,194.0236229
357,harmonic4,R3,DNW,4.531240914
358,harmonic4,R3,EFD,3763.707524
359,harmonic4,R3,EFW,374663.8174
360,harmonic4,R3,ENW,1097.713126
361,harmonic4,R4,AFD,48425.52208
362,harmonic4,R4,AFW,2094523.187
363,harmonic4,R4,ANW,6494.841496
364,harmonic4,R4,BFD,212535.7209
365,harmonic4,R4,BFW,17800.82797
366,harmonic4,R4,BNW,54322.73057
367,harmonic4,R4,CFD,210148.2022
368,harmonic4,R4,CFW,716618.0555
369,harmonic4,R4,CNW,22612.98484
370,harmonic4,R4,DFD,29876.0184
371,harmonic4,R4,DFW,123905.5387
372,harmonic4,R4,DNW,13189.61315
373,harmonic4,R4,EFD,11986.15274
374,harmonic4,R4,EFW,22005.27361
375,harmonic4,R4,ENW,5807.019557
376,harmonic4,R5,AFD,32471.02715
377,harmonic4,R5,AFW,3568112.224
378,harmonic4,R5,ANW,15952.22389
379,harmonic4,R5,BFD,82637.8487
380,harmonic4,R5,BFW,31640.37405
381,harmonic4,R5,BNW,48313.29122
382,harmonic4,R5,CFD,211988.9188
383,harmonic4,R5,CFW,926836.2625
384,harmonic4,R5,CNW,69881.64824
385,harmonic4,R5,DFD,25281.29383
386,harmonic4,R5,DFW,202687.5425
387,harmonic4,R5,DNW,13680.73276
388,harmonic4,R5,EFD,14569.8176
389,harmonic4,R5,EFW,23510.74178
390,harmonic4,R5,ENW,4009.031257
391,harmonic4,R6,AFD,1012442.354
392,harmonic4,R6,AFW,6826030.567
393,harmonic4,R6,ANW,38832.23916
394,harmonic4,R6,BFD,1058984.179
395,harmonic4,R6,BFW,195504.0134
396,harmonic4,R6,BNW,211724.7277
397,harmonic4,R6,CFD,3448698.672
398,harmonic4,R6,CFW,1638495.58
399,harmonic4,R6,CNW,268789.5794
400,harmonic4,R6,DFD,170622.4407
401,harmonic4,R6,DFW,1111446.403
402,harmonic4,R6,DNW,31816.89319
403,harmonic4,R6,EFD,100987.6411
404,harmonic4,R6,EFW,387372.8619
405,harmonic4,R6,ENW,27439.95728
406,harmonic4,R7,AFD,204250.1508
407,harmonic4,R7,AFW,4493691.459
408,harmonic4,R7,ANW,33775.2252
409,harmonic4,R7,BFD,134916.477
410,harmonic4,R7,BFW,235135.0293
411,harmonic4,R7,BNW,218675.3835
412,harmonic4,R7,CFD,1460526.606
413,harmonic4,R7,CFW,8735600.333
414,harmonic4,R7,CNW,19243.2517
415,harmonic4,R7,DFD,118020.2504
416,harmonic4,R7,DFW,582147.267
417,harmonic4,R7,DNW,46822.97846
418,harmonic4,R7,EFD,119623.4617
419,harmonic4,R7,EFW,186434.8685
420,harmonic4,R7,ENW,4371.544259
421,harmonic4,R8,AFD,71089.87643
422,harmonic4,R8,AFW,455513.7585
423,harmonic4,R8,ANW,14627.18461
424,harmonic4,R8,BFD,39190.29974
425,harmonic4,R8,BFW,42216.27521
426,harmonic4,R8,BNW,72337.74236
427,harmonic4,R8,CFD,513905.9685
428,harmonic4,R8,CFW,1700433.725
429,harmonic4,R8,CNW,203213.8048
430,harmonic4,R8,DFD,77291.76255
431,harmonic4,R8,DFW,208475.5087
432,harmonic4,R8,DNW,9046.683123
433,harmonic4,R8,EFD,163358.0221
434,harmonic4,R8,EFW,97776.6136
435,harmonic4,R8,ENW,5681.176305
436,harmonic4,R9,AFD,19589.21634
437,harmonic4,R9,AFW,1481003.999
438,harmonic4,R9,ANW,2640.563243
439,harmonic4,R9,BFD,5929.755934
440,harmonic4,R9,BFW,4378.767484
441,harmonic4,R9,BNW,1816.460956
442,harmonic4,R9,CFD,2734515.613
443,harmonic4,R9,CFW,317974.2508
444,harmonic4,R9,CNW,24370.47687
445,harmonic4,R9,DFD,166744.8156
446,harmonic4,R9,DFW,100802.3494
447,harmonic4,R9,DNW,10069.70289
448,harmonic4,R9,EFD,37518.93068
449,harmonic4,R9,EFW,25741.9273
450,harmonic4,R9,ENW,11181.17782
451,harmonic6,R1,AFD,492827.4513
452,harmonic6,R1,AFW,47700481.43
453,harmonic6,R1,ANW,29492.7755
454,harmonic6,R1,BFD,4009333.543
455,harmonic6,R1,BFW,282098.0728
456,harmonic6,R1,BNW,177810.9422
457,harmonic6,R1,CFD,939848.156
458,harmonic6,R1,CFW,2397987.502
459,harmonic6,R1,CNW,104515.8248
460,harmonic6,R1,DFD,87281.41754
461,harmonic6,R1,DFW,710949.0563
462,harmonic6,R1,DNW,26757.52313
463,harmonic6,R1,EFD,53652.88859
464,harmonic6,R1,EFW,127524.8377
465,harmonic6,R1,ENW,21331.54082
466,harmonic6,R10,AFD,5808695.084
467,harmonic6,R10,AFW,57495589.37
468,harmonic6,R10,ANW,157977.1682
469,harmonic6,R10,BFD,269877138.5
470,harmonic6,R10,BFW,1045971.154
471,harmonic6,R10,BNW,610207.0494
472,harmonic6,R10,CFD,15808290.46
473,harmonic6,R10,CFW,13152233.71
